depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
799.24,12689,15,1,15,0.5172,0.3057,0.2116,0.2371,0.355,0.4872,0.355,-0.4501,4.33,0.35,0,0,0,0,0,0,1.69,332,,,,,,,,,,
799.93,12709,33,1,33,0.9388,0.2908,0.648,0.2171,0.3288,0.4541,0.3288,-0.4338,4.52,0.59,0,0,0,0,0,0,1.66,332,,,,,,,,,,
800.5,12729,35,1,34.7,0.9501,0.2768,0.6733,0.1979,0.3035,0.4218,0.3035,-0.4171,4.74,0.55,0,0,0,0,0,0,1.64,332,,,,,,,,,,
801.05,12749,32,1,32,0.7619,0.264,0.4979,0.1802,0.2799,0.3915,0.2799,-0.4003,4.99,0.85,0,0,0,0,0,0,1.61,332,,,,,,,,,,
801.52,12769,32,1,32,0.7619,0.2524,0.5095,0.1647,0.2588,0.3643,0.2588,-0.3838,5.26,0.77,0,0,0,0,0,0,1.59,332,,,,,,,,,,
802,12789,66,1,66,1.5349,0.2422,1.2927,0.1514,0.2405,0.3404,0.2405,-0.3678,5.56,0.79,0,0,0,0,0,0,1.57,332,,,,,,,,,,
802.47,12809,66,1,66,1.5349,0.2333,1.3015,0.14,0.2245,0.3192,0.2245,-0.3522,5.87,0.78,0,0,0,0,0,0,1.56,332,,,,,,,,,,
802.93,12829,40,1,39.65,0.9809,0.2257,0.7552,0.1303,0.2105,0.3004,0.2105,-0.3372,6.19,0.82,0,0,0,0,0,0,1.54,332,,,,,,,,,,
803.43,12849,35,1,35,0.875,0.2187,0.6563,0.1219,0.1982,0.2838,0.1982,-0.3228,6.52,0,0,0,0,0,0,0,1.53,332,,,,,,,,,,
803.93,12869,21,1,20.55,0.5249,0.2114,0.3136,0.1146,0.1872,0.2687,0.1872,-0.309,6.85,0.69,0,0,0,0,0,0,1.53,332,,,,,,,,,,
804.44,12889,18,1,18,0.4615,0.2025,0.2591,0.1078,0.177,0.2546,0.177,-0.2956,7.16,0.39,1,1,1,1,0,130.4448,1.53,333,,,,,,,,,,
804.95,12909,4,1,3.6,0.0846,0.1911,-0.1066,0.1015,0.1674,0.2413,0.1674,-0.2827,7.46,0.45,0,0,0,0,0,0,1.54,333,,,,,,,,,,
805.42,12929,2,1,2,0.0465,0.1769,-0.1304,0.0953,0.1581,0.2283,0.1581,-0.2701,7.73,0.44,0,0,0,0,0,0,1.55,333,,,,,,,,,,
805.88,12949,1,1,0.5,0.0107,0.1598,-0.149,0.0893,0.1489,0.2156,0.1489,-0.2577,7.96,0.64,0,0,0,0,0,0,1.56,333,,,,,,,,,,
806.31,12969,0,1,0,0,0.1405,-0.1405,0.0833,0.1397,0.2029,0.1397,-0.2455,8.15,0.47,0,0,0,0,0,0,1.58,333,,,,,,,,,,
806.73,12989,0,1,0,0,0.1207,-0.1207,0.0772,0.1306,0.1904,0.1306,-0.2336,8.3,0.55,0,0,0,0,0,0,1.6,333,,,,,,,,,,
807.14,13009,0,1,0,0,0.1028,-0.1028,0.0713,0.1217,0.1781,0.1217,-0.2221,8.4,0.61,0,0,0,0,0,0,1.62,333,,,,,,,,,,
807.54,13029,0,1,0,0,0.0885,-0.0885,0.0656,0.113,0.1662,0.113,-0.2109,8.45,0.6,0,0,0,0,0,0,1.64,333,,,,,,,,,,
807.94,13049,1,1,0.85,0.0186,0.0784,-0.0598,0.0601,0.1047,0.1548,0.1047,-0.2002,8.46,0.61,0,0,0,0,0,0,1.66,333,,,,,,,,,,
808.38,13069,1,1,1,0.0222,0.0718,-0.0496,0.0549,0.097,0.1441,0.097,-0.1902,8.44,0.62,0,0,0,0,0,0,1.68,333,,,,,,,,,,
808.82,13089,1,1,1,0.0235,0.0679,-0.0443,0.0502,0.0899,0.1344,0.0899,-0.1811,8.37,0.65,0,0,0,0,0,0,1.69,334,,,,,,,,,,
809.29,13109,1,1,1,0.0244,0.0661,-0.0417,0.0464,0.084,0.1262,0.084,-0.173,8.28,0.63,0,0,0,0,0,0,1.7,334,,,,,,,,,,
809.78,13129,2,1,2.1,0.0499,0.0624,-0.0125,0.0435,0.0794,0.1198,0.0794,-0.1662,8.15,0.6,0,0,0,0,0,0,1.71,334,,,,,,,,,,
810.26,13149,3,1,3,0.0698,0.0642,0.0055,0.0416,0.0763,0.1152,0.0763,-0.1607,8,0.66,0,0,0,0,0,0,1.72,334,,,,,,,,,,
810.72,13169,3,1,3,0.0649,0.0673,-0.0024,0.0407,0.0746,0.1125,0.0746,-0.1564,7.82,0.56,0,0,0,0,0,0,1.73,334,,,,,,,,,,
811.15,13189,3,1,3,0.0577,0.0687,-0.011,0.0406,0.0739,0.1111,0.0739,-0.1531,7.61,0.67,0,0,0,0,0,0,1.73,334,,,,,,,,,,
811.54,13209,3,1,3,0.0577,0.0732,-0.0156,0.0405,0.0733,0.11,0.0733,-0.1503,7.38,0.73,0,0,0,0,0,0,1.74,334,,,,,,,,,,
811.92,13229,2,1,2.2,0.043,0.0809,-0.038,0.0403,0.0726,0.1087,0.0726,-0.1477,7.13,0.81,0,0,0,0,0,0,1.74,334,,,,,,,,,,
812.31,13249,2,1,2,0.0392,0.0882,-0.049,0.04,0.0718,0.1075,0.0718,-0.1453,6.87,0.68,0,0,0,0,0,0,1.74,334,,,,,,,,,,
812.71,13269,3,1,2.75,0.0554,0.0945,-0.0391,0.0396,0.071,0.1062,0.071,-0.1432,6.61,0.5,0,0,0,0,0,0,1.74,334,,,,,,,,,,
813.11,13289,5,1,5,0.1087,0.0996,0.0091,0.0392,0.0701,0.1048,0.0701,-0.1413,6.35,0.23,0,0,0,0,0,0,1.74,334,,,,,,,,,,
813.54,13309,5,1,5,0.1087,0.1034,0.0053,0.0387,0.0693,0.1036,0.0693,-0.1396,6.1,0.22,0,0,0,0,0,0,1.74,335,,,,,,,,,,
813.98,13329,5,1,5,0.1159,0.1062,0.0097,0.0382,0.0685,0.1024,0.0685,-0.138,5.87,0.45,0,0,0,0,0,0,1.73,335,,,,,,,,,,
814.44,13349,5,1,5,0.1163,0.1079,0.0084,0.0378,0.0677,0.1013,0.0677,-0.1367,5.67,0.43,0,0,0,0,0,0,1.73,335,,,,,,,,,,
814.91,13369,6,1,5.8,0.1324,0.1088,0.0236,0.0374,0.067,0.1003,0.067,-0.1355,5.49,0.39,0,0,0,0,0,0,1.73,335,,,,,,,,,,
815.36,13389,6,1,6,0.1364,0.109,0.0273,0.037,0.0665,0.0995,0.0665,-0.1346,5.34,0.37,0,0,0,0,0,0,1.73,335,,,,,,,,,,
