depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
493.78,10869,3,1,2.56,0.284,0.265,0.019,0.1307,0.2173,0.3145,0.2173,-0.3744,3.82,0.54,0,0,0,0,0,0,4.88,176,,,,,,,,,,
494.78,10878,3,1,2.56,0.2619,0.2599,0.002,0.1315,0.2182,0.3154,0.2182,-0.3739,3.84,0.7,0,0,0,0,0,0,4.85,177,,,,,,,,,,
495.7,10887,3,1,3,0.3222,0.2549,0.0673,0.1323,0.2191,0.3164,0.2191,-0.3734,3.86,0.7,0,0,0,0,0,0,4.81,178,,,,,,,,,,
496.67,10896,3,1,3,0.3333,0.25,0.0834,0.1331,0.2199,0.3173,0.2199,-0.3729,3.89,0.55,0,0,0,0,0,0,4.78,179,,,,,,,,,,
497.67,10905,2,1,1.67,0.1852,0.2452,-0.06,0.1339,0.2208,0.3182,0.2208,-0.3725,3.91,0.63,0,0,0,0,0,0,4.74,180,,,,,,,,,,
498.67,10914,1,1,1,0.1204,0.2407,-0.1203,0.1347,0.2217,0.3192,0.2217,-0.3721,3.93,0.38,0,0,0,0,0,0,4.7,181,,,,,,,,,,
499.75,10923,2,1,1.78,0.203,0.2365,-0.0335,0.1356,0.2227,0.3202,0.2227,-0.3717,3.96,0.25,0,0,0,0,0,0,4.66,182,,,,,,,,,,
500.78,10932,2,1,2,0.2438,0.2327,0.0112,0.1365,0.2236,0.3213,0.2236,-0.3714,3.98,0.82,0,0,0,0,0,0,4.61,183,,,,,,,,,,
501.88,10941,0,1,0.22,0.025,0.2293,-0.2043,0.1374,0.2247,0.3225,0.2247,-0.3711,4.01,0.33,0,0,0,0,0,0,4.57,184,,,,,,,,,,
502.89,10950,0,1,0,0,0.2265,-0.2265,0.1384,0.2258,0.3238,0.2258,-0.3709,4.04,0.18,0,0,0,0,0,0,4.53,184,,,,,,,,,,
503.89,10959,2,1,1.78,0.1975,0.2242,-0.0267,0.1395,0.227,0.3252,0.227,-0.3707,4.06,0.77,0,0,0,0,0,0,4.48,184,,,,,,,,,,
504.89,10968,0,1,0.33,0.0458,0.2227,-0.1769,0.1406,0.2283,0.3266,0.2283,-0.3705,4.09,0.21,0,0,0,0,0,0,4.43,185,,,,,,,,,,
506.13,10977,1,1,1,0.125,0.2217,-0.0967,0.1418,0.2297,0.3282,0.2297,-0.3704,4.12,0.69,0,0,0,0,0,0,4.38,185,,,,,,,,,,
507.25,10986,1,1,0.67,0.0802,0.2215,-0.1413,0.1431,0.2312,0.3299,0.2312,-0.3702,4.15,0.79,0,0,0,0,0,0,4.33,186,,,,,,,,,,
