depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
691.16,10081,12,1,12.4,0.6461,0.7842,-0.1381,0.5508,0.8049,1.0896,0.8049,-0.9294,3.89,0.52,0,0,0,0,0,0,3.29,221,,,,,,,,,,
692.2,10101,15,1,14.8,0.7478,0.7655,-0.0177,0.5311,0.7801,1.0591,0.7801,-0.9196,3.82,0.04,0,0,0,0,0,0,3.25,229,,,,,,,,,,
693.21,10121,18,1,17.75,0.9617,0.7544,0.2073,0.5097,0.7534,1.0265,0.7534,-0.9101,3.75,0.49,0,0,0,0,0,0,3.2,236,,,,,,,,,,
694.29,10141,12,1,12.2,0.6524,0.7492,-0.0968,0.4873,0.7254,0.9923,0.7254,-0.9003,3.66,0.56,0,0,0,0,0,0,3.14,243,,,,,,,,,,
695.36,10161,9,1,9.2,0.4307,0.7478,-0.3171,0.4642,0.6965,0.957,0.6965,-0.8896,3.58,0.76,0,0,0,0,0,0,3.08,249,,,,,,,,,,
696.3,10181,16,1,16,0.8,0.7456,0.0544,0.4406,0.6668,0.9203,0.6668,-0.8773,3.49,0.84,0,0,0,0,0,0,3.01,255,,,,,,,,,,
697.3,10201,11,1,11.4,0.57,0.7542,-0.1842,0.416,0.6354,0.8814,0.6354,-0.8626,3.41,0.86,0,0,0,0,0,0,2.94,261,,,,,,,,,,
698.3,10221,20,1,20.3,1.015,0.7652,0.2498,0.3908,0.6029,0.8406,0.6029,-0.8453,3.33,0.15,0,0,0,0,0,0,2.86,267,,,,,,,,,,
699.3,10241,25,1,25.3,1.285,0.7747,0.5103,0.3652,0.5695,0.7986,0.5695,-0.8256,3.25,0.18,0,0,0,0,0,0,2.78,270,,,,,,,,,,
700.32,10261,23,1,22.5,1.1635,0.7816,0.3819,0.3397,0.5359,0.7559,0.5359,-0.8037,3.17,0.63,0,0,0,0,0,0,2.69,270,,,,,,,,,,
701.35,10281,24,1,24.1,1.205,0.7854,0.4196,0.3144,0.5023,0.7129,0.5023,-0.7803,3.1,0.01,1,0,0,0,0,0,2.6,271,,,,,,,,,,
702.35,10301,15,1,15,0.75,0.7855,-0.0355,0.2895,0.4689,0.67,0.4689,-0.7559,3.03,0,0,0,0,0,0,0,2.51,272,,,,,,,,,,
703.35,10321,12,1,11.85,0.5925,0.7819,-0.1894,0.2651,0.436,0.6276,0.436,-0.731,2.97,0,0,0,0,0,0,0,2.42,272,,,,,,,,,,
704.35,10341,8,1,8.1,0.4208,0.775,-0.3543,0.2415,0.4042,0.5864,0.4042,-0.7061,2.91,0,0,0,0,0,0,0,2.33,272,,,,,,,,,,
705.39,10361,12,1,12,0.6367,0.7654,-0.1287,0.2192,0.3738,0.5471,0.3738,-0.6817,2.86,0,0,0,0,0,0,0,2.24,272,,,,,,,,,,
706.45,10381,20,1,20.1,1.005,0.7532,0.2518,0.1986,0.3456,0.5104,0.3456,-0.6582,2.82,0,0,0,0,0,0,0,2.15,272,,,,,,,,,,
707.45,10401,27,1,27.3,1.365,0.7389,0.6261,0.1799,0.3198,0.4767,0.3198,-0.6357,2.8,0.04,0,0,1,0,0,0,2.07,271,,,,,,,,,,
708.45,10421,20,1,20.4,1.0442,0.7225,0.3216,0.1634,0.2969,0.4465,0.2969,-0.6142,2.78,0.19,0,0,0,0,0,0,1.99,271,,,,,,,,,,
709.47,10441,20,1,19.5,1.0007,0.7042,0.2964,0.1492,0.2767,0.4196,0.2767,-0.5937,2.78,0.29,1,1,0,1,0,7.7152,1.91,271,,,,,,,,,,
710.5,10461,14,1,13.5,0.6589,0.6838,-0.0249,0.137,0.2591,0.3959,0.2591,-0.5741,2.78,0.41,0,0,0,0,0,0,1.85,270,,,,,,,,,,
711.48,10481,5,1,5.35,0.2605,0.6611,-0.4006,0.1269,0.2441,0.3754,0.2441,-0.5557,2.8,0.37,0,0,0,0,0,0,1.78,270,,,,,,,,,,
