"Depth","Age","spike.conc","Abies","Acer.rubrum.type","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteroideae","Betula","Botrychium.type","Brasenia","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cichorioideae","Corylus","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Fagus","Fraxinus.pennsylvanica.type","Ilex","Indeterminable","Iso..tes","Iva.type","Juglans.nigra","Juniperus.type","Liquidambar","Lycopodium.spike","Magnolia.virginiana.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmundastrum.cinnamomeum","Ostrya.Carpinus","Persicaria.amphibia.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum.fimbriatum.type","Polygonum.polygamum.type","Polypodium","Potamogeton","Pteridium.type","Quercus","Rosaceae.undiff.","Sagittaria","Salix","Sambucus","Selaginella.arenicola","Serenoa","Sporormiella","Thalictrum","Tsuga","Ulmus","Unknown","Utricularia","Vitis","total"
169,7310,NA,0,0.263157895,0,0.263157895,0,0,0,0,0.789473684,0,0,8.157894737,0,1.578947368,0,0,0.263157895,0,0,0,1.578947368,0,0,0,0,0,0.263157895,0,1.578947368,0,0,0,0.263157895,1.842105263,3.157894737,0,0,0,0,1.052631579,0.263157895,0,0.263157895,0,0,1.315789474,0,32.89473684,0.263157895,2.105263158,0,0,0,0,0,38.94736842,0,0.263157895,0.263157895,0,0,0.263157895,0,0,0,0.526315789,0.789473684,0,0.789473684,100
177,7662,NA,0,0,0,0.566572238,0,0,0,0,1.416430595,0,0,5.66572238,0,0.849858357,0,0.283286119,0,0.849858357,0,0,3.116147309,0,0,0,0,0.283286119,0,0,1.416430595,0,0,0.283286119,0,0.849858357,1.699716714,0,0,0,0,1.699716714,0.566572238,0,0,0,0,0.283286119,0,21.52974504,0,4.249291785,0,0,0,0,0,51.84135977,0,0.566572238,0,0,0,0.283286119,0,0.283286119,0,0.283286119,0.283286119,0,0.849858357,100
185,7933,NA,0,0,0,0.545702592,0,0.272851296,0.272851296,0,0.818553888,0.545702592,0,5.184174625,0,1.909959072,0,0.272851296,0.272851296,0,0,0,2.455661664,0,0,0,0,0.545702592,0.545702592,0,0.545702592,0,0,0,0,0.545702592,3.547066849,0,0,0,0,2.182810368,0.272851296,0,0.545702592,0,0,2.182810368,0,22.23738063,0.272851296,1.909959072,0,0,0,0,0,50.20463847,0.272851296,0.545702592,0.272851296,0,0,0,0,0,0,0.272851296,0.545702592,0,0,100
197,8144,NA,0,0,0,0.529100529,0,0.264550265,0,0,0,0.529100529,0,11.37566138,0,0.793650794,0,0,0,0,0,0,0,0,0,0,0,0.264550265,0.529100529,0,0.793650794,0,0,0,0,2.380952381,5.291005291,0,0.264550265,0,0,1.322751323,0,0,0,0,0.264550265,0.529100529,0,19.57671958,0,2.116402116,0,0,0,0,0,51.32275132,0,0.529100529,0.264550265,0,0,0,0,0,0,1.058201058,0,0,0,100
205,8282,NA,0,0,0,0.510204082,0,1.020408163,0,0,0.510204082,0.510204082,0,1.530612245,0,2.040816327,0,0.255102041,0,0,0,0,0.765306122,0,0,0,0,0.255102041,0.510204082,0,1.785714286,0,0,0,0.510204082,0.765306122,2.295918367,0,0,0,0,1.530612245,0.255102041,0,0.765306122,0,0,3.571428571,0,23.97959184,0.255102041,2.295918367,0,0,0,0,0.255102041,51.78571429,0,0.255102041,0,0,0,0,0,0,0,1.020408163,0.255102041,0,0.510204082,100
213,8424,NA,0,0,0,0.772200772,0.257400257,0.772200772,0,0.257400257,0.257400257,0,0,10.81081081,0,0.772200772,0.257400257,0,0,0,0,0,0.514800515,0,0,0,0,0.257400257,0.514800515,0,1.544401544,0,0,0,0.772200772,1.287001287,3.861003861,0,0,0,0,0.514800515,0,0,0.257400257,0,0,0.772200772,0,28.44272844,0,1.287001287,0,0,0,0.257400257,0,42.21364221,0,1.287001287,0,0,0,0,0,0,0,1.287001287,0.514800515,0.257400257,0,100
221,8564,NA,0,0.243605359,0,0.487210719,0,0.730816078,0,0.243605359,0.243605359,0.243605359,0,11.69305725,0,2.923264312,0,0,0,0,0,0,0,0,0,0,0,0.487210719,0.243605359,0,0.487210719,0,0,0,0.730816078,0.730816078,7.06455542,0,0,0.243605359,0,0.974421437,0,0,0,0,0,2.679658952,0,20.3410475,0.243605359,1.948842875,0,0,0,0,0,46.04141291,0,0,0,0,0,0,0,0,0.243605359,0.730816078,0,0,0,100
229,8705,NA,0,0.270635995,0,0.270635995,0.270635995,0.541271989,0,0,0.541271989,0,0,5.142083897,0,1.082543978,0,0,0,0,0,0,0.541271989,0,0,0,0,0.811907984,1.082543978,0,1.623815968,0.270635995,0,0.270635995,0.270635995,0.811907984,2.97699594,0,0,0,0,0.541271989,0,0,0.811907984,0,0,0.811907984,0,23.95128552,0.270635995,1.623815968,0,0,0,0,0,52.77401894,0,0.541271989,0,0,0,0,0,0,0,0.270635995,0.541271989,0,1.082543978,100
237,8846,NA,0,0,0,0,0,0.270635995,0,0.811907984,0,0.270635995,0,3.51826793,0,2.435723951,0,0.270635995,0,0,0,0,0.270635995,0,0,0,0,0.811907984,0.270635995,0,1.082543978,0,0,0,0.811907984,0.270635995,1.353179973,0,0,0,0,1.353179973,0,0,0.270635995,0,0,0.270635995,0.270635995,31.52909337,0.270635995,2.706359946,0,0,0,0,0,50.87956698,0,0,0,0,0,0,0,0,0,0,0,0,0,100
245,9097,NA,0,0,0.248447205,0.99378882,0,0.745341615,0,0.248447205,0.248447205,0.248447205,0,2.48447205,0,1.98757764,0,0.248447205,0,0,0,0,0.99378882,0,0.248447205,0.248447205,0,0.49689441,0.248447205,0,0.49689441,0.49689441,0,0.248447205,0.49689441,1.98757764,1.49068323,0,0.248447205,0,0,1.739130435,0,0,0.49689441,0,0,0.49689441,0.248447205,24.47204969,0,1.242236025,0,0,0,0.248447205,0,54.16149068,0,0.49689441,0.248447205,0,0,0,0,0,0,0.745341615,0,0,0.248447205,100
