"Depth","Age","Abies","Acalphyla","Acer","Aesculus","Alnus","Amaranthaceae","Ambrosia","ANACARDIACEAE","APIACEAE","Artemisia","Betula","Brasenia","BRASSICACEAE","Bursera","Carex","Carya","CARYOPHYLLACEAE","Castenea","Ceanothus","Celtis","Cephalanthus","Cercis","Clethra","Corylus","CUPRESSACEAE","CYPERACEAE","Diospyros","Asteraceae","Pinua","Ericales","EUPHORBIACEAE","FABACEAE","Fagus","Fern.Spore","Fraxinus","Helianthemum","Humulus","Indeterminate","Hypericum","Ilex","Isoetes","Iva","Juglans","Juniperus","Justicia","LILIACEAE","Liquidambar","Liriodendron","Magnolia","MALVACEAE","Melilotus","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nymphoides","Nyssa","Oenothera","Ostrya.Carpinus","Parthenicissus","Phlox","Picea","Planera","Plantago","Platanus","POACEAE","Polygonella","Polygonum","Polypodium","Populus","Potamogeton","Prunus","Quercus","RANUNCULACEAE","RHAMNACEAE","Rhus","ROSACEAE","Rubus","Rumex","Sagitarria","Salix","Sambucus","SCROPHULARIACEAE","SOLANACEAE","Taxodium","Thalictrum","Tilia","Trilete.Spore","Tsuga","Typha.angustifolia","Typha.latifolia","Ulmus","Unknown","Urtica","Urticularia","Vitis","Upland.Pollen","Total.Pollen","Lycopodium"
214,12150,0,0,0.858369099,0,0.429184549,0,0,0,0.429184549,0,0.429184549,1.287553648,0,0,0,10.30042918,0,0,0,0,0,0,0,0.429184549,6.008583691,0,0.429184549,0.429184549,2.575107296,0,0,0,5.150214592,0,0,0,0,5.150214592,0.429184549,0,8.154506438,0.429184549,0,0,0,0,0.429184549,0,0,0,0,0,0,0,0.429184549,0,0,0,0,4.721030043,0,0,0,0,0,0.858369099,3.004291845,0,0,0,0,0.429184549,0,47.21030043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429184549,0,0,1.716738197,0,0,0,0,100,102.1459227,NA
217,12446,0,0,0.836820084,0,0.418410042,0,1.255230126,0,0,0.418410042,0,0.836820084,0,0,0,9.205020921,0,0.418410042,0,0.418410042,0,0,0,0.836820084,4.60251046,0,0.418410042,0,1.673640167,0,0,0,8.368200837,0,1.255230126,0,0,3.765690377,0,0,9.205020921,0.418410042,0,0,0,0,1.255230126,0,0,0,0,0,0.836820084,0,0.418410042,0,0,0,0,2.928870293,0,0,0,0,0,0,1.255230126,0,0,0,0,0.418410042,0,48.9539749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418410042,0.418410042,0,0,0.418410042,0,0,0,0,100,101.6736402,NA
219,12544,0,0,0.760456274,0,0.760456274,0,0,0,0,0.380228137,0,0.380228137,0.380228137,0,0,9.505703422,0,0,0,0.760456274,0,0,0,0.380228137,7.604562738,0.380228137,0.380228137,0,3.041825095,0,0,0,4.562737643,0,0.760456274,0,0,4.182509506,0,0,11.40684411,1.140684411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.802281369,0,0,0,0.380228137,0,0,2.661596958,0,0,0,0,0,0,44.86692015,0,0,0,0,0,0,0,0,0,0,0,0,0.380228137,0,0,0,0,0,1.140684411,0.380228137,0,0,0,100,100.3802281,NA
221,12721,0,0,1.628664495,0,0.325732899,0,0.325732899,0,0,0.325732899,0,0,0,0,0.325732899,7.491856678,0,0.651465798,0,0.977198697,0,0,0,0,4.560260586,0,0.325732899,0.325732899,1.628664495,0,0,0,10.42345277,0,0.651465798,0,0.651465798,2.280130293,0.325732899,0,7.491856678,1.628664495,0,0,0,0,0.651465798,0,0,0,0,0,0,0,0,0.325732899,0,0,0,2.605863192,0,0,0,0,0,0,1.302931596,0,0,0,0,0.325732899,0,52.11726384,0.325732899,0,0,0.325732899,0,0,0,0.325732899,0,0,0,0,0,0,0,0,0,0,0,0.325732899,0,0.325732899,0,100,101.3029316,NA
224,13017,0,0,0,0,0.376647834,0,0.376647834,0,0.376647834,0,1.506591337,1.129943503,0,0,0,7.156308851,0,1.129943503,0,0,0,0,0,0,5.27306968,0.753295669,0.376647834,0.753295669,3.389830508,0,0,0,5.27306968,0,0.376647834,0,0,2.63653484,0,0,9.792843691,0.376647834,0.376647834,0,0,0,0,0,0,0,0,0,0,0,0,0.376647834,0,0,0,5.649717514,0,0,0.941619586,0,0,0,0.753295669,0,0,0,0,0,0,48.96421846,1.506591337,0,0,0.376647834,0,0,0,0,0,0,0,0,0,0,0,0.376647834,0,0,1.129943503,0,0,0,0,100,101.5065913,NA
226,13110,0,0,1.687763713,0,1.687763713,0,1.687763713,0,0,0,0.421940928,0.843881857,0,0,0,4.641350211,0,0,0,0.843881857,0,0,0,0,7.594936709,0.421940928,0.421940928,2.109704641,3.375527426,0,0,0.421940928,2.53164557,0,1.265822785,0,0,2.953586498,0,0,8.016877637,0,0,0,0,0,0.421940928,0,0,0,0,0,0,0,0.843881857,0,0,0,0,4.219409283,0,0,0.421940928,0.421940928,0,0.843881857,4.219409283,0,0,0,0,0,0,48.52320675,0,0,0,0,0,0,0.421940928,0,0,0.421940928,0,0,0,0,0,0.421940928,0,0,0,0,0,0.421940928,0,100,102.5316456,NA
228,13154,0,0,0.766283525,0,0.383141762,0,0.766283525,0,0.383141762,0,0,0.383141762,0,0,0,11.11111111,0,0.383141762,0,0,0,0,0,0,4.214559387,1.53256705,0.383141762,1.53256705,3.831417625,0,0,0,3.831417625,0,0.383141762,0,0,4.214559387,0,0,6.896551724,0,0.383141762,0,0,0,1.149425287,0,0,0,0,0,0,0,0,0,0.383141762,0,0,2.298850575,0,0,0.766283525,0.383141762,0,0,2.681992337,0,0,0,0,0.383141762,0,49.80842912,0,0,0,0,0,0,0.766283525,0,0,0,0,0.766283525,0,0.766283525,0,0,0,0.383141762,0.383141762,0,0,0,0,100,102.2988506,NA
231,13252,0.434782609,0,2.173913043,0,0.869565217,0,1.304347826,0,0,0.434782609,0.434782609,0.434782609,0,0,0,4.347826087,0,0.869565217,0,0,0,0,0,0,2.608695652,0.434782609,0.434782609,0,0.869565217,0,0,0,12.17391304,0,1.304347826,0,0,4.347826087,0,0,3.043478261,0,0,0,0,0,0.434782609,0,0,0,0,0.434782609,0,0,0,0,0,0,0,3.47826087,0,0,0,0,0,0,2.173913043,0,0,0,0,0,0,55.65217391,0,0,0,0,0,0,0.869565217,0,0,0,0,0.434782609,0,0.434782609,0,0,0,0,0.434782609,0.434782609,0,0,0,100,101.3043478,NA
233,13333,0,0,2.222222222,0,0.37037037,0,2.222222222,0,1.481481481,0.37037037,1.111111111,1.111111111,0,0,0,8.518518519,1.111111111,0.37037037,0,0,0,0,0,0,1.481481481,1.111111111,0.37037037,0.37037037,7.037037037,0,0,0,1.111111111,0,0.37037037,0,0,8.518518519,0,0,5.185185185,0.37037037,0.37037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37037037,0,0,2.962962963,0,0,0.740740741,0,0,0,4.074074074,0,0,0,0,0.37037037,0,45.18518519,0,0.37037037,0,0,0,0.37037037,0,0,0,0,0,0,0,0,0.37037037,0.740740741,0,0,0.37037037,0.740740741,0,0.37037037,0,100,102.2222222,NA
236,13472,0,0,1.793721973,0,0,0.448430493,0.896860987,0,0.896860987,0,0.448430493,0,0,0,0,9.417040359,0.448430493,0,0,0,0,0,0,0,4.484304933,0.448430493,0.448430493,0.448430493,7.623318386,0,0,0,0,0,1.793721973,0,0,5.381165919,0,0,11.21076233,0.896860987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448430493,0.448430493,0,0,3.587443946,0,0,0,0,0,0,3.139013453,0,0,0,0,0,0,41.25560538,0,0,0,0,0,0,0,0,0,0,0,0.448430493,0,0,0,0.448430493,0,0,1.34529148,2.69058296,0,0.448430493,0,100,101.3452915,NA
238,13590,0,0,0,0,1.204819277,0,0.401606426,0,0.803212851,0.401606426,0.401606426,0,0,0,0,14.0562249,0,0,0,0,0,0,0,0.401606426,1.606425703,0.401606426,0.401606426,0.803212851,8.43373494,0,0,0.401606426,0,0,0.401606426,0,0,5.62248996,0,0,14.45783133,1.204819277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401606426,0,0,1.606425703,0,0,2.008032129,0,0,0,3.614457831,0,0,0,0,0,0,38.55421687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803212851,1.606425703,0,0,0.401606426,100,100.4016064,NA
241,13741,0,0,0,0,0,0,0.925925926,0,1.851851852,0.925925926,0,0.462962963,0,0,0,11.11111111,0.462962963,0.925925926,0,0,0,0,0,0.925925926,2.777777778,0,0.462962963,1.388888889,6.944444444,0,0,0,0,0,1.388888889,0,0,4.62962963,0,0,11.11111111,0.462962963,0,0,0,0,0.462962963,0,0,0,0,0,0,0.462962963,0,0.462962963,0,0,0,1.851851852,0,0,0.462962963,0,0,0,3.240740741,0,0,0,0,0,0,44.90740741,0,0,0,0,0,0,0.925925926,0,0,0,0,0.462962963,0,0,0,0.462962963,0,0,0.462962963,1.388888889,0,0,0,100,102.3148148,NA
