"X","siteID","datasetID","siteName","handle","lat","long","depth","age","minSCD"
"V63",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1282.5,16773,0.168940448453896
"V64",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1290.5,16965,0.161819402902576
"V65",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1298.5,17157,0.190658182077482
"V66",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1306.5,17353,0.126208714970148
"V67",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1313.5,17424,0.13457780765877
"V68",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1321.5,17513,0.131647059378879
"V69",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1329.5,17607,0.151388428844568
"V70",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1337.5,17700,0.156976065402477
"V71",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1345.5,17796,0.164854190915115
"V72",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1352.5,17881,0.159461245043447
"V73",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1360.5,17977,0.168423835278618
"V74",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1368.5,18052,0.191787989913394
"V75",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1376.5,18109,0.113563194690874
