Depth,Age,Abies,Picea,Pinus.undiff,Pinus.sub..Pinus,Pinus.sub..Strobus,Tsuga,Acer.saccharum,Acer.rubrum,Acer.undiff,Acer.saccharinum,Alnus.rugosa,Betula,Carya,Castanea,Cephalanthus,Cornus,Corylus,Cupressaceae,Fagus,Fraxinus.undifferentiated,Fraxinus.nigra,Fraxinus.pennsylvanica,Juglans,Larix,Liquidambar,Morus,Myricaceae,Nyssa,Ostrya.Carpinus.type,Planera,Platanus,Populus,Quercus,Salix,Tilia,Ulmus,Ambrosia.type,Apiaceae,Araliaceae,Arceuthobium,Artemisia,Total.Asteraceae,Brassicaceae,Campanula,Caryophyllaceae,Chenopodiaceae,Cyperaceae,Epilobium,Equisetum,Fabaceae,Gallium,Lamiaceae,Nuphar,Nymphea,Magnolia.Liliaceae,Mentha,Menyathes,Myriophyllum,Onagraceae,Pediastrum.spp,Plantaginaceae,Poaceae,Polemonium,Polygonaceae,Potentilla,Prunella,Rosaceae,Ranunculaceae,Rumex,Sagittaria,Sparganium,Stellaria,Thalictrum,Typha,Urtica,Marker,Upland.Pollen.Sum,TreesandShrubs,Aquatic,Upland.Herbs,Total.Pinus
115,12369,0.738396624,10.44303797,1.793248945,0,0,0,0.421940928,0,0,0,0,1.054852321,8.860759494,0,0.210970464,0,5.907172996,0,0.210970464,0.210970464,1.898734177,0.632911392,0.421940928,0,0,0,0,0.421940928,8.016877637,0,0,0.843881857,22.99578059,0,0,1.054852321,12.86919831,0,0,0,0,3.797468354,0,0,0,0.210970464,5.696202532,0,0,0,0,0,1.476793249,0,0,0,0,0,0,0,0,5.274261603,0,0.421940928,0,0,0.210970464,0,0,3.164556962,2.109704641,0,0,1.687763713,0,2.109704641,96.30801688,66.13924051,4.641350211,25.52742616,1.793248945
120,12479,0.421940928,9.388185654,2.215189873,0,0,0,2.320675105,0,0.210970464,0.210970464,0,0.421940928,8.860759494,0,0,0,7.172995781,0,0.210970464,0.632911392,1.898734177,0.421940928,0.210970464,0,0,0,0,0,6.329113924,0,0,0.843881857,27.84810127,0.421940928,0.210970464,1.898734177,16.4556962,0,0,0,0.210970464,2.320675105,0,0,0,0,5.274261603,0.421940928,0,0,0,0,2.109704641,0,0,0,0,0,0,0,0,2.53164557,0,0.210970464,0,0,1.054852321,0,0,1.265822785,0,0,0.632911392,2.742616034,1.054852321,4.219409283,105.0632911,72.15189873,4.008438819,28.90295359,2.215189873
125,12600,0.210970464,10.44303797,2.004219409,0,0,0,2.53164557,0,0.421940928,0.632911392,0,0.210970464,9.071729958,0,0.421940928,0,5.485232068,0,0,1.265822785,1.687763713,0.210970464,0,0.210970464,0,0,0,0.210970464,9.071729958,0,0,0,22.99578059,0.210970464,0,1.265822785,14.1350211,0,0,0,0,2.53164557,0,0.421940928,0,0.210970464,5.485232068,0,0,0.210970464,0.210970464,0,0.421940928,0,0,0,0,0,0,0.210970464,0,5.696202532,0,0.210970464,0,0,0.421940928,0,0,2.953586498,2.53164557,0,1.476793249,0.843881857,0.421940928,2.109704641,100.8438819,68.56540084,5.274261603,27.00421941,2.004219409
130,12704,0.210970464,15.08438819,2.320675105,0,0,0,1.687763713,0,0,0,0,1.054852321,7.805907173,0,0.843881857,0,3.375527426,0,0.210970464,0.210970464,1.054852321,0.210970464,0.421940928,0,0.210970464,0,0,0.421940928,10.75949367,0,0,0.843881857,28.48101266,0.421940928,0.210970464,2.109704641,10.54852321,0,0,0,0,1.265822785,0,0,0,0,4.430379747,0.210970464,0,0.210970464,0,0,1.898734177,0,0,0,0,0,0,0,0,3.797468354,0,0.210970464,0,0,0.632911392,0,0,1.476793249,1.898734177,0,0,1.476793249,0,2.320675105,100.7383966,77.9535865,3.375527426,19.4092827,2.320675105
135,12744,0.52742616,24.57805907,1.582278481,0.210970464,0,0,0.421940928,0,0.843881857,0,0,1.898734177,1.054852321,0.210970464,0,0,0.421940928,0,0,0,0.632911392,0,0.421940928,0,0.210970464,0,0,0,5.274261603,0,0,0,25.10548523,0.421940928,0,0.632911392,1.476793249,0,0,0,1.054852321,2.953586498,0,0.210970464,0,0.632911392,5.063291139,0,0,0.210970464,0,0.210970464,0,0,0,0,0,0,0,0.210970464,0,10.33755274,0,0.421940928,0,0,0.421940928,0,0,0.632911392,0,0,0.632911392,0.843881857,0.210970464,3.164556962,89.1350211,64.45147679,1.476793249,23.20675105,1.793248945
140,12779,0.738396624,28.48101266,5.485232068,0.210970464,0,0,0.210970464,0,0,0,0,1.476793249,0,0.421940928,0,0,1.054852321,0,0,2.109704641,1.265822785,0.632911392,0.210970464,0,0,0,0,0,1.687763713,0,0,0,20.25316456,0,0,0.210970464,2.109704641,0,0,0,0.632911392,4.008438819,0,0,0,0,6.962025316,0.210970464,0,0.210970464,0,0,0,0,0,0,0,0,0,0.632911392,0,6.751054852,0,0,0,0,0.843881857,0,0,0,0,0,0,1.265822785,0.421940928,4.641350211,87.86919831,64.45147679,0.632911392,22.78481013,5.696202532
145,12820,0.210970464,12.44725738,3.270042194,0,0,0,1.265822785,0,0.421940928,0.210970464,0,1.476793249,2.953586498,0.210970464,0,0,0.843881857,0,0.210970464,1.898734177,0.210970464,1.054852321,0.421940928,0,0.210970464,0,0,0,12.65822785,0,0,0.843881857,22.99578059,0.632911392,0,2.53164557,12.23628692,0,0,0,0.843881857,2.320675105,0,0,0,0,7.383966245,0.421940928,0,0.210970464,0,0,0.210970464,0,0,0,0,0.421940928,0,0.632911392,0,6.11814346,0,0.421940928,0,0,0.421940928,0,0,0.632911392,0,0,0.421940928,0.421940928,0,2.742616034,98.20675105,66.98312236,2.320675105,28.90295359,3.270042194
150,12861,0,36.4978903,6.329113924,0.210970464,0,0,0.421940928,0,0,0.210970464,0,0.843881857,0,0.210970464,0,0.210970464,0.632911392,0,0,2.53164557,1.476793249,1.265822785,0.210970464,0,0,0,0,0,1.054852321,0,0,0,15.61181435,0.210970464,0,0.421940928,0.843881857,0,0,0,0.632911392,3.164556962,0,0,0,0,9.071729958,0,0,0,0.210970464,0,0,0,0,0,0,0,0.210970464,2.109704641,0,6.329113924,0,0.632911392,0,0,0.210970464,0,0,0,0,0,0.632911392,1.054852321,0.632911392,4.430379747,91.7721519,68.35443038,2.953586498,20.46413502,6.540084388
155,12921,0.105485232,31.96202532,6.540084388,0.421940928,0,0,0,0,0.210970464,0,0,0.843881857,0,0,0,0,0.632911392,0,0.210970464,1.054852321,2.953586498,0.843881857,0,0,0,0,0,0,0.843881857,0,0,0.421940928,16.87763713,0.632911392,0,0.843881857,0.421940928,0,0,0,1.265822785,2.742616034,0,0.210970464,0,0,8.860759494,0,0,0.210970464,0.210970464,0.210970464,0,0,0,0,0,0,0,1.054852321,0,5.696202532,0,0,0,0,0.210970464,0,0,0.421940928,0,0,0.843881857,1.476793249,0,4.852320675,87.76371308,65.40084388,2.53164557,19.83122363,6.962025316
160,13025,0.316455696,31.54008439,8.122362869,0.843881857,0.210970464,0,0,0,0.210970464,0,0,0,0.421940928,0.632911392,0,0,0.421940928,0,0,1.898734177,0.843881857,0.843881857,0,0,0,0,0,0,1.054852321,0,0,0,16.87763713,0.421940928,0,0.421940928,1.898734177,0,0,0,0.632911392,1.265822785,0,0,0,0,6.962025316,0.210970464,0,0.421940928,0.210970464,0,0,0,0,0,0,0,0,2.742616034,0,5.274261603,0,0.210970464,0,0,0.421940928,0,0,0,0.210970464,0,0.210970464,2.320675105,0,5.274261603,85.12658228,65.08438819,3.164556962,16.87763713,9.17721519
